Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
44,40,29,44,44,31,8,4,44
21,24,21,25,24,19,12,16,25
25,33,26,31,30,11,11,4,33
30,28,16,31,30,23,20,2,31
18,25,14,27,27,20,5,17,27
25,31,22,28,32,20,27,16,32
29,30,25,30,29,10,30,29,30
22,30,20,29,30,26,18,27,30
32,37,23,38,39,39,10,9,39
31,33,26,32,33,18,16,20,33
26,34,30,33,32,9,25,11,34
36,34,27,35,35,24,31,16,36
25,40,26,38,40,16,38,22,40
15,29,24,27,29,21,8,4,29
41,46,28,45,47,30,12,43,47
39,35,33,33,40,31,9,30,40
30,33,20,34,34,25,28,3,34
21,26,18,27,27,18,11,20,27
15,28,27,28,28,16,12,15,28
38,39,20,39,39,19,18,34,39
23,24,23,23,24,20,12,21,24
28,31,22,29,30,27,12,3,31
43,38,38,49,52,47,47,38,52
25,26,26,26,24,23,14,14,26
38,33,39,38,36,13,35,33,39
18,27,24,27,26,9,16,27,27
37,44,23,39,45,38,12,3,45
27,32,20,24,32,31,11,31,32
27,31,22,30,30,17,16,31,31
15,34,25,34,34,16,15,32,34
33,34,15,27,34,32,11,31,34
27,48,20,47,46,45,26,43,48
30,30,19,29,29,18,15,30,30
32,30,14,23,31,22,19,2,32
29,29,25,23,24,8,27,25,29
27,28,20,26,28,16,18,14,28
37,33,27,38,42,24,22,43,43
30,31,24,31,32,23,17,4,32
21,32,25,22,33,15,5,13,33
28,29,24,26,26,20,19,1,29
30,32,32,32,32,31,18,29,32
28,35,19,39,39,39,17,30,39
34,33,24,33,34,29,11,33,34
28,33,24,29,33,18,17,31,33
44,45,19,43,47,43,23,40,47
23,31,24,31,31,12,13,21,31
14,29,18,29,25,29,16,2,29
14,42,33,41,39,41,9,37,42
27,36,19,38,38,12,36,13,38
38,34,20,35,38,38,19,32,38
24,37,36,34,36,17,29,35,37
37,36,22,31,36,14,27,2,37
10,26,21,26,27,22,21,24,27
21,25,25,25,25,20,17,19,25
44,43,27,42,45,38,17,38,45
27,40,22,40,39,38,37,39,40
34,38,34,40,41,35,27,30,41
26,31,19,30,30,21,13,19,31
30,48,19,53,54,43,34,48,54
19,44,34,42,42,32,28,33,44
31,30,28,33,34,25,11,19,34
39,41,35,41,40,15,13,18,41
24,25,21,23,26,9,15,21,26
44,50,21,47,51,19,9,28,51
33,31,32,34,35,18,14,28,35
22,26,23,26,22,25,26,2,26
29,37,26,38,39,23,29,29,39
3,35,24,36,35,28,17,25,36
18,34,20,34,32,16,25,23,34
