Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
35,30,30,33,36,14,20,21,36
36,33,18,34,36,34,31,6,36
54,52,53,54,54,24,45,42,54
24,30,20,27,31,26,22,31,31
51,52,16,43,52,30,32,49,52
45,40,24,45,45,30,13,44,45
16,26,19,24,20,17,21,25,26
12,19,16,18,19,14,10,9,19
49,58,43,60,59,60,52,58,60
54,58,52,64,65,55,63,22,65
29,36,29,32,37,16,16,35,37
35,37,24,35,38,38,38,29,38
27,28,22,31,31,25,20,13,31
38,33,35,47,48,41,14,44,48
46,41,31,45,46,40,36,33,46
36,36,33,37,36,29,12,13,37
28,41,34,38,40,27,18,39,41
36,36,31,34,35,33,29,33,36
43,40,27,42,42,31,12,38,43
43,46,24,48,47,25,29,32,48
40,44,21,49,48,48,12,18,49
30,28,14,29,30,24,10,29,30
23,26,15,27,27,13,14,12,27
27,35,29,36,36,29,29,32,36
33,36,19,39,40,31,31,33,40
37,30,25,37,35,34,12,22,37
28,30,24,27,30,23,13,27,30
29,30,20,30,27,28,11,19,30
42,41,41,41,43,37,28,25,43
35,41,18,37,42,40,37,24,42
44,44,27,50,49,49,46,29,50
30,30,23,30,30,20,13,13,30
40,39,34,40,39,39,5,22,40
19,27,22,28,28,25,13,22,28
19,31,27,30,30,25,10,24,31
31,39,33,39,38,26,21,38,39
41,43,24,42,45,12,13,36,45
31,36,28,37,38,38,7,15,38
34,35,18,32,36,32,19,21,36
17,30,17,29,29,21,19,9,30
46,43,39,52,52,23,49,42,52
34,34,25,36,38,36,28,25,38
29,37,29,35,36,31,20,28,37
24,29,27,27,29,18,13,28,29
37,41,24,38,40,39,14,35,41
28,33,23,33,33,20,26,13,33
33,39,36,40,40,34,23,36,40
24,26,25,26,26,16,19,24,26
30,35,25,32,35,23,10,27,35
37,41,39,42,42,28,34,41,42
36,31,31,33,35,17,20,35,36
43,44,25,46,45,45,22,43,46
36,36,31,30,38,28,32,25,38
31,37,36,38,38,30,30,24,38
33,34,29,34,32,30,17,24,34
31,31,24,30,31,22,18,14,31
46,48,16,49,50,50,47,44,50
39,47,18,52,54,51,51,27,54
26,28,28,27,25,15,4,3,28
47,51,38,51,51,24,16,39,51
34,42,41,44,40,40,24,33,44
25,25,21,24,23,23,21,14,25
6,41,20,42,42,42,13,40,42
31,33,26,32,31,31,7,31,33
35,36,26,35,36,26,15,33,36
46,46,40,45,48,25,24,42,48
29,31,24,31,31,30,26,29,31
11,30,15,33,33,27,20,28,33
8,47,40,47,46,33,14,44,47
32,39,21,38,38,34,34,36,39
36,35,20,36,35,21,20,36,36
28,32,29,28,30,26,32,27,32
28,34,26,33,34,30,14,33,34
22,33,34,35,35,31,24,11,35
43,43,28,44,45,39,29,41,45
50,53,20,51,53,23,12,39,53
15,28,24,29,25,23,27,8,29
43,50,16,48,53,23,46,48,53
18,18,17,18,18,12,16,14,18
38,48,25,48,47,42,24,26,48
12,25,22,22,22,18,14,19,25
35,42,36,40,41,33,42,37,42
44,45,30,41,45,41,10,21,45
24,34,29,34,36,35,13,31,36
37,35,34,37,35,36,35,33,37
36,33,32,36,35,34,17,23,36
43,40,33,45,46,34,34,35,46
31,33,23,33,33,28,30,6,33
28,33,29,33,33,25,20,24,33
36,36,34,35,35,34,34,34,36
33,32,26,36,36,21,35,21,36
36,29,20,31,37,32,36,25,37
25,32,23,32,33,29,10,34,34
36,34,26,31,37,27,34,33,37
45,42,46,46,46,42,34,32,46
34,39,20,38,41,23,7,38,41
33,37,33,39,39,20,20,12,39
25,32,33,29,36,27,21,32,36
34,33,18,32,34,22,15,27,34
21,31,20,31,29,25,30,30,31
36,36,30,35,36,34,21,34,36
27,29,29,28,27,18,17,23,29
44,44,56,58,59,49,48,47,59
40,42,34,42,40,34,12,25,42
46,50,36,52,52,53,11,44,53
37,40,19,38,40,28,6,3,40
47,44,27,50,48,26,11,46,50
36,36,34,34,38,26,21,26,38
42,44,24,42,44,19,16,37,44
39,39,31,39,37,38,37,10,39
16,41,38,49,51,41,25,48,51
47,38,42,47,47,26,5,46,47
32,36,32,36,36,31,21,28,36
9,26,26,26,27,22,16,28,28
33,34,13,34,34,32,18,7,34
21,28,26,28,29,24,18,15,29
29,28,17,29,29,22,22,22,29
41,38,25,42,35,37,36,38,42
31,33,20,30,32,29,16,10,33
40,38,43,37,42,41,10,44,44
28,39,22,40,40,33,11,38,40
31,37,32,35,38,32,12,36,38
34,31,26,33,34,27,27,31,34
42,45,39,46,46,32,15,41,46
39,38,41,38,41,24,13,27,41
26,27,26,26,28,18,9,27,28
59,60,26,58,56,48,25,60,60
27,29,24,28,28,24,16,10,29
32,33,34,33,33,28,27,24,34
39,38,31,40,40,35,30,37,40
52,52,42,47,52,30,23,4,52
39,40,17,41,40,32,27,4,41
19,46,46,48,50,28,18,37,50
37,42,31,43,43,33,11,37,43
30,34,19,36,39,15,12,23,39
35,34,35,39,37,37,39,39,39
36,34,26,35,38,29,29,25,38
40,37,37,40,39,18,29,36,40
