Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
20,34,23,34,32,32,20,32,34
2,31,20,29,31,22,14,25,31
24,37,29,28,37,20,15,5,37
23,28,19,30,30,22,8,24,30
34,33,21,33,35,32,12,21,35
4,40,40,38,40,33,29,32,40
32,42,33,43,44,35,25,39,44
25,40,25,36,40,39,9,31,40
9,29,26,28,27,26,16,20,29
32,32,24,34,33,10,21,27,34
36,41,27,34,40,26,25,28,41
28,32,29,24,34,24,23,20,34
9,22,18,22,22,13,9,20,22
11,24,23,25,24,9,13,10,25
20,25,25,23,25,18,18,14,25
19,24,17,24,22,20,18,3,24
22,31,21,32,32,9,8,12,32
29,32,30,33,33,21,22,29,33
33,34,32,32,34,15,11,34,34
22,27,22,25,27,21,24,26,27
44,43,36,36,44,20,11,36,44
25,28,16,28,24,17,25,11,28
9,30,27,30,29,29,6,27,30
20,26,22,24,23,26,7,24,26
6,29,24,29,27,16,29,3,29
13,22,19,22,22,19,18,12,22
3,33,21,32,32,13,25,32,33
32,35,23,35,34,34,18,32,35
28,27,22,29,25,11,11,13,29
31,33,24,31,33,16,25,27,33
29,33,20,28,32,15,28,31,33
25,38,29,39,40,21,13,36,40
38,38,33,36,38,22,35,38,38
17,33,32,33,32,12,12,27,33
18,22,22,22,21,9,22,17,22
35,34,26,37,37,37,13,30,37
21,25,25,24,23,23,11,1,25
24,35,27,34,35,19,9,2,35
33,33,29,34,32,34,11,11,34
30,42,38,38,41,38,40,36,42
23,32,31,31,32,25,12,31,32
22,31,28,30,31,12,24,28,31
26,29,24,29,29,11,8,26,29
7,32,32,32,32,11,10,22,32
27,32,23,32,33,16,13,29,33
11,41,21,39,39,23,31,29,41
31,32,15,33,32,24,17,3,33
29,30,30,30,31,18,12,30,31
17,39,21,42,40,19,8,20,42
19,23,22,23,21,11,11,19,23
13,33,30,33,32,16,24,5,33
39,46,47,46,48,8,31,4,48
31,39,37,33,40,11,22,37,40
8,29,28,26,26,23,21,26,29
26,25,27,25,27,20,14,25,27
18,40,40,38,42,42,28,26,42
25,27,25,22,22,23,20,27,27
16,39,21,39,39,15,27,35,39
13,36,22,35,35,14,10,25,36
29,31,28,29,32,13,12,14,32
28,30,27,25,29,6,14,22,30
35,35,29,37,39,18,39,21,39
5,36,12,34,35,19,25,27,36
13,32,29,29,33,22,14,2,33
26,33,25,30,33,20,21,29,33
3,29,29,30,27,14,26,28,30
16,28,29,28,27,12,13,19,29
26,29,27,27,30,28,11,12,30
32,32,26,33,33,15,11,24,33
33,35,36,38,38,38,20,35,38
46,51,21,50,51,30,31,29,51
28,44,23,46,47,16,9,40,47
12,31,18,31,31,25,25,6,31
7,27,26,26,28,24,26,9,28
12,26,22,25,27,17,9,3,27
39,41,40,41,42,37,18,39,42
37,42,34,38,42,29,27,18,42
27,28,27,25,27,12,9,2,28
36,37,21,35,38,19,30,32,38
24,24,24,24,23,15,6,23,24
20,28,18,29,30,30,6,10,30
41,43,32,38,42,28,14,7,43
20,45,39,50,50,21,22,47,50
16,25,16,25,25,9,4,18,25
8,23,19,23,23,16,6,19,23
9,38,38,38,38,16,10,20,38
25,31,32,32,30,29,28,6,32
23,28,25,25,28,14,15,25,28
22,29,27,27,30,14,14,29,30
30,30,29,29,30,19,16,27,30
29,39,25,34,39,28,20,38,39
34,36,33,45,51,19,12,46,51
13,31,21,35,33,27,25,34,35
34,34,27,36,36,13,13,20,36
30,31,26,28,31,23,14,18,31
11,32,25,32,31,15,15,21,32
20,31,24,29,32,12,18,2,32
4,27,20,27,27,18,14,12,27
35,33,29,24,35,17,13,23,35
18,31,31,32,29,17,24,18,32
29,39,30,36,39,10,16,25,39
3,35,22,30,33,18,18,2,35
22,32,18,29,32,28,7,26,32
9,24,19,25,26,14,25,23,26
22,31,24,31,31,20,20,26,31
22,28,18,27,27,24,21,5,28
24,32,28,34,34,31,22,34,34
6,30,18,30,30,27,25,16,30
28,31,22,27,30,26,11,11,31
5,28,27,35,35,18,21,30,35
38,42,33,43,44,15,43,33,44
27,35,34,34,35,17,9,34,35
23,39,37,40,38,26,20,39,40
31,38,38,37,37,33,21,12,38
38,40,26,39,38,38,16,37,40
32,41,41,41,40,39,12,41,41
22,25,19,25,26,17,19,19,26
8,35,35,35,35,22,16,7,35
29,30,30,30,29,12,12,29,30
33,37,21,40,38,18,41,36,41
24,38,27,38,36,26,17,29,38
47,46,46,47,47,14,36,44,47
42,45,19,38,45,24,15,41,45
14,24,20,25,24,22,22,20,25
24,30,21,32,32,13,18,30,32
18,30,20,28,28,7,6,10,30
30,33,14,33,32,18,19,2,33
21,40,21,40,39,23,10,34,40
2,30,29,29,30,21,27,28,30
25,33,19,35,36,13,13,28,36
29,36,24,32,33,10,9,29,36
9,27,26,27,25,14,15,19,27
29,35,30,32,35,21,12,16,35
18,31,24,32,30,20,15,17,32
2,25,25,25,25,18,10,19,25
22,25,16,22,25,21,13,3,25
20,30,16,33,33,25,9,32,33
25,32,24,32,33,11,10,28,33
25,28,29,31,31,23,11,25,31
36,39,31,36,38,25,25,23,39
29,32,28,32,34,18,22,6,34
44,41,33,41,45,24,6,6,45
34,36,37,36,36,13,12,32,37
26,37,27,37,34,30,18,29,37
3,28,27,25,29,20,8,22,29
28,28,28,29,29,23,7,25,29
2,36,13,33,35,11,15,32,36
33,34,30,35,36,29,11,28,36
53,54,51,39,51,46,11,51,54
35,38,27,39,37,14,21,33,39
38,43,37,41,44,30,22,43,44
32,31,31,31,30,24,18,13,32
2,30,29,27,30,26,17,2,30
4,30,14,27,30,13,28,15,30
3,26,14,24,25,23,19,24,26
15,38,35,35,39,18,9,36,39
37,41,25,32,43,18,15,41,43
34,38,35,34,31,13,11,3,38
29,33,27,33,28,17,29,27,33
29,35,22,25,34,30,25,30,35
4,31,22,29,28,14,20,30,31
32,33,29,34,34,17,9,32,34
34,35,26,33,34,31,7,24,35
2,35,29,34,36,12,18,33,36
19,24,23,27,27,11,10,16,27
24,31,20,28,30,12,6,28,31
20,31,16,29,30,22,22,2,31
34,29,34,34,35,17,16,7,35
19,38,35,34,38,24,15,38,38
18,32,16,30,32,22,32,14,32
19,31,30,31,31,21,10,31,31
33,38,24,37,34,23,22,24,38
40,45,38,43,45,43,14,1,45
26,35,21,35,36,30,18,16,36
17,29,27,27,29,26,9,17,29
3,25,24,25,21,13,13,17,25
26,32,23,31,33,27,20,27,33
6,25,20,24,24,18,12,2,25
19,25,21,25,22,22,16,8,25
11,28,24,28,28,13,20,17,28
2,27,22,28,27,27,11,26,28
30,37,36,37,37,37,36,31,37
3,33,33,33,31,23,15,17,33
12,37,25,33,35,19,12,35,37
38,37,23,36,36,25,11,2,38
17,28,19,22,27,17,8,28,28
32,32,24,31,31,23,17,31,32
19,30,29,28,30,23,16,9,30
24,27,22,26,27,13,19,27,27
37,41,40,41,36,9,14,32,41
8,40,17,38,41,12,39,14,41
17,27,26,27,25,23,18,2,27
34,43,31,42,42,10,9,31,43
37,36,36,41,40,31,8,38,41
12,27,13,27,26,20,27,4,27
34,38,29,35,37,32,8,15,38
8,33,21,33,33,13,16,31,33
31,39,35,38,36,18,22,37,39
36,36,31,39,40,16,19,32,40
28,31,30,29,32,24,16,30,32
43,48,43,47,47,20,43,21,48
32,43,43,39,40,14,41,43,43
