Blue,Brown,Green,Grey,Orange,Purple,Red,Yellow,total
16,28,24,28,28,20,10,7,28
35,32,19,38,37,34,30,14,38
35,37,41,41,41,16,35,40,41
47,39,39,49,48,36,44,29,49
23,33,19,29,31,22,24,3,33
26,31,26,27,30,21,13,22,31
28,27,27,29,30,16,27,30,30
28,28,29,28,27,18,21,23,29
29,47,34,41,48,19,29,38,48
40,40,34,42,42,16,16,40,42
32,36,31,36,35,32,28,13,36
23,31,19,30,30,26,31,1,31
34,34,18,31,33,25,32,33,34
14,35,24,30,36,21,34,35,36
21,28,24,24,29,24,15,26,29
28,41,41,32,39,17,10,41,41
36,38,18,37,38,15,14,13,38
3,34,27,32,31,16,19,29,34
14,26,24,26,25,20,18,26,26
29,33,34,33,33,24,27,29,34
17,37,36,31,38,12,34,14,38
4,41,35,40,41,25,21,34,41
32,32,22,30,28,30,15,30,32
39,47,27,49,49,41,25,46,49
28,31,20,28,32,25,21,16,32
36,32,32,35,37,10,20,20,37
27,40,40,32,39,37,38,26,40
28,30,29,29,29,26,17,7,30
2,24,20,21,24,21,16,3,24
6,27,20,24,23,18,9,17,27
4,26,25,23,23,26,24,25,26
21,23,17,22,22,24,18,10,24
19,24,25,21,25,13,13,6,25
10,23,23,23,21,17,22,22,23
16,39,15,40,40,22,26,21,40
16,30,27,30,28,11,30,28,30
27,41,36,34,39,10,24,36,41
25,26,21,26,27,18,23,4,27
9,24,19,24,24,14,9,23,24
30,27,22,28,30,19,9,29,30
27,31,18,30,28,17,23,9,31
3,30,25,25,32,16,7,3,32
20,21,17,19,17,18,15,21,21
16,34,23,32,34,28,27,34,34
22,35,31,32,36,10,32,30,36
27,30,18,19,28,23,24,23,30
27,29,25,28,29,20,11,10,29
5,33,27,33,31,23,32,31,33
17,30,29,28,30,28,3,10,30
9,25,19,25,23,16,5,2,25
26,31,20,29,33,9,8,20,33
37,43,39,39,47,15,21,40,47
33,46,25,46,46,32,17,30,46
19,37,25,32,36,20,5,32,37
3,32,22,32,31,31,30,30,32
51,50,50,50,52,14,36,41,52
9,30,14,32,28,22,24,6,32
4,29,25,27,29,18,22,29,29
5,23,21,22,20,15,22,16,23
25,30,27,30,30,24,21,11,30
40,41,38,36,39,23,15,10,41
19,27,27,27,25,23,8,1,27
25,25,15,20,25,15,19,17,25
28,31,25,21,30,30,14,28,31
28,28,28,28,29,14,26,23,29
